epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.282,3.37991,4.89474,3.17445,0.0004,0.05011,0.00016,3e-05,3.21147,5.26431,3.02477,0.000198214,0.000198214,0.0803768
2,345.002,2.96841,4.66726,2.80521,0.00662,0.01155,0.00137,0.00025,3.08439,5.2501,2.79206,0.000394272,0.000394272,0.0605728
3,521.244,2.66515,4.22745,2.57084,0.37646,0.02541,0.04288,0.01511,2.4512,4.01262,2.41757,0.00058637,0.00058637,0.0407649
4,718.758,2.43096,3.85758,2.38949,0.25537,0.12618,0.05336,0.01652,2.44845,3.77529,2.47577,0.000774507,0.000774507,0.0209531
5,894.175,2.27214,3.64834,2.26779,0.26606,0.13702,0.08311,0.03637,2.27122,3.81686,2.22634,0.000958685,0.000958685,0.00113726
6,1061.97,2.17842,3.51034,2.18232,0.14842,0.14314,0.09043,0.03741,2.17634,3.66096,2.13091,0.0009505,0.0009505,0.0009505
7,1232.57,2.13145,3.3986,2.14936,0.26734,0.25253,0.12421,0.05363,2.10507,3.30671,2.08047,0.0009406,0.0009406,0.0009406
8,1401.49,2.04306,3.28444,2.08198,0.1894,0.23853,0.14349,0.06627,1.98766,3.1527,1.99336,0.0009307,0.0009307,0.0009307
9,1573.67,2.00984,3.20443,2.04258,0.18869,0.23901,0.14654,0.07054,2.00133,3.13187,2.02172,0.0009208,0.0009208,0.0009208
10,1744.73,1.94385,3.14064,2.00753,0.24103,0.22708,0.16216,0.07515,2.04035,3.06252,2.03714,0.0009109,0.0009109,0.0009109
11,1916.37,1.95035,3.06658,2.00708,0.21684,0.23222,0.14574,0.06671,1.91505,3.09987,1.93317,0.000901,0.000901,0.000901
12,2087.99,1.90438,3.00054,1.96844,0.25209,0.31024,0.22393,0.10285,1.92513,2.90087,1.97709,0.0008911,0.0008911,0.0008911
13,2263.68,1.86219,2.93523,1.94016,0.27842,0.32999,0.23122,0.10841,1.9092,3.1202,1.98347,0.0008812,0.0008812,0.0008812
14,2435.23,1.84613,2.89034,1.92247,0.30162,0.2977,0.22112,0.10677,1.92411,2.79827,1.93905,0.0008713,0.0008713,0.0008713
15,2609,1.82734,2.86774,1.91159,0.28864,0.34745,0.26092,0.12796,1.87523,2.68588,1.90182,0.0008614,0.0008614,0.0008614
16,2784.16,1.81898,2.82341,1.91078,0.34587,0.32815,0.24736,0.13483,1.75447,2.69243,1.7979,0.0008515,0.0008515,0.0008515
